,Value,Feature
36,45,multimorbidities
35,16,e2015_imd_5_3.0
34,16,anxiety_or_depression_in_last_3y
33,14,gender
32,13,binned_age_at_dx_80-95
31,12,weight_category_Unspecified
30,12,ckd
29,11,copd
28,10,e2015_imd_5_5.0
27,9,e2015_imd_5_2.0
26,8,e2015_imd_5_4.0
25,8,drinking_status_Unspecified
24,8,drinking_status_Non drinker
23,8,drinking_status_Current drinker
22,7,osteoporosis
21,7,drinking_status_Ex drinker
20,7,chd
19,6,hypertension
18,6,heart_failure
17,4,binned_age_at_dx_65-80
16,3,smi
15,3,e2015_imd_5_1.0
14,2,weight_category_Overweight
13,2,binned_age_at_dx_50-65
12,2,Ethnicity_White
11,1,epilepsy
1,0,Ethnicity_Mixed
5,0,binned_age_at_dx_35-50
2,0,Ethnicity_Other
3,0,Ethnicity_S_Asian
4,0,asthma
9,0,weight_category_Obese
6,0,binned_age_at_dx_95-110
7,0,cfs
8,0,weight_category_Healthy weight
10,0,weight_category_Underweight
0,0,Ethnicity_Black
