,Value,Feature
32,97,age_at_dx
31,27,multimorbidities
30,22,anxiety_or_depression_in_last_3y
29,19,weight_category_Unspecified
28,14,osteoporosis
27,14,e2015_imd_5_3.0
26,12,e2015_imd_5_2.0
25,12,drinking_status_Ex drinker
24,11,drinking_status_Unspecified
23,10,hypertension
22,9,drinking_status_Current drinker
21,9,copd
20,8,gender
19,8,e2015_imd_5_4.0
18,8,ckd
17,7,heart_failure
16,7,e2015_imd_5_5.0
15,7,e2015_imd_5_1.0
14,7,drinking_status_Non drinker
13,7,chd
12,7,asthma
11,3,epilepsy
10,2,weight_category_Healthy weight
9,1,weight_category_Obese
8,1,smi
7,1,Ethnicity_S_Asian
1,0,Ethnicity_Mixed
6,0,weight_category_Underweight
5,0,weight_category_Overweight
4,0,cfs
3,0,Ethnicity_White
2,0,Ethnicity_Other
0,0,Ethnicity_Black
