,Value,Feature
265,3,e_pracid_60.0
264,3,e_pracid_236.0
257,1,e_pracid_136.0
182,0,e_pracid_34.0
170,0,e_pracid_255.0
171,0,e_pracid_256.0
172,0,e_pracid_257.0
173,0,e_pracid_26.0
174,0,e_pracid_27.0
175,0,e_pracid_28.0
176,0,e_pracid_29.0
177,0,e_pracid_3.0
178,0,e_pracid_30.0
179,0,e_pracid_31.0
180,0,e_pracid_32.0
181,0,e_pracid_33.0
194,0,e_pracid_45.0
183,0,e_pracid_35.0
184,0,e_pracid_36.0
185,0,e_pracid_37.0
186,0,e_pracid_38.0
187,0,e_pracid_39.0
188,0,e_pracid_4.0
189,0,e_pracid_40.0
190,0,e_pracid_41.0
191,0,e_pracid_42.0
192,0,e_pracid_43.0
193,0,e_pracid_44.0
168,0,e_pracid_253.0
195,0,e_pracid_46.0
169,0,e_pracid_254.0
157,0,e_pracid_243.0
167,0,e_pracid_252.0
166,0,e_pracid_251.0
141,0,e_pracid_227.0
142,0,e_pracid_228.0
143,0,e_pracid_229.0
144,0,e_pracid_23.0
145,0,e_pracid_230.0
146,0,e_pracid_231.0
147,0,e_pracid_232.0
148,0,e_pracid_233.0
149,0,e_pracid_234.0
150,0,e_pracid_235.0
151,0,e_pracid_238.0
152,0,e_pracid_239.0
153,0,e_pracid_24.0
154,0,e_pracid_240.0
155,0,e_pracid_241.0
156,0,e_pracid_242.0
197,0,e_pracid_48.0
158,0,e_pracid_244.0
159,0,e_pracid_245.0
160,0,e_pracid_246.0
161,0,e_pracid_247.0
162,0,e_pracid_248.0
163,0,e_pracid_249.0
164,0,e_pracid_25.0
165,0,e_pracid_250.0
196,0,e_pracid_47.0
208,0,e_pracid_58.0
198,0,e_pracid_49.0
227,0,e_pracid_8.0
229,0,e_pracid_81.0
230,0,e_pracid_82.0
231,0,e_pracid_83.0
232,0,e_pracid_84.0
233,0,e_pracid_85.0
234,0,e_pracid_86.0
235,0,e_pracid_87.0
236,0,e_pracid_88.0
237,0,e_pracid_89.0
238,0,e_pracid_9.0
239,0,e_pracid_90.0
240,0,e_pracid_91.0
241,0,e_pracid_92.0
242,0,e_pracid_93.0
243,0,e_pracid_94.0
244,0,e_pracid_95.0
