,Value,Feature
280,23,e_pracid_236.0
277,20,e_pracid_214.0
276,20,e_pracid_201.0
274,19,e_pracid_230.0
273,17,e_pracid_60.0
272,17,e_pracid_257.0
268,15,e_pracid_22.0
265,14,e_pracid_151.0
263,13,e_pracid_101.0
262,12,e_pracid_249.0
261,12,e_pracid_206.0
260,12,e_pracid_179.0
259,11,e_pracid_199.0
257,10,e_pracid_156.0
249,9,e_pracid_166.0
245,9,e_pracid_106.0
246,9,e_pracid_130.0
247,9,e_pracid_132.0
248,9,e_pracid_161.0
251,9,e_pracid_225.0
250,9,e_pracid_178.0
252,9,e_pracid_252.0
253,9,e_pracid_31.0
254,9,e_pracid_37.0
255,9,e_pracid_49.0
243,8,e_pracid_39.0
242,8,e_pracid_38.0
241,8,e_pracid_28.0
240,8,e_pracid_227.0
239,8,e_pracid_185.0
238,8,e_pracid_115.0
237,8,e_pracid_103.0
233,7,e_pracid_234.0
234,7,e_pracid_241.0
235,7,e_pracid_242.0
236,7,e_pracid_255.0
229,6,e_pracid_65.0
228,6,e_pracid_217.0
227,6,e_pracid_204.0
226,6,e_pracid_2.0
225,6,e_pracid_165.0
224,6,e_pracid_162.0
223,6,e_pracid_147.0
222,6,e_pracid_102.0
217,5,e_pracid_25.0
213,5,e_pracid_131.0
215,5,e_pracid_189.0
216,5,e_pracid_20.0
214,5,e_pracid_14.0
218,5,e_pracid_36.0
219,5,e_pracid_55.0
204,4,e_pracid_216.0
197,4,e_pracid_112.0
198,4,e_pracid_144.0
199,4,e_pracid_163.0
200,4,e_pracid_170.0
201,4,e_pracid_190.0
202,4,e_pracid_202.0
203,4,e_pracid_212.0
205,4,e_pracid_219.0
206,4,e_pracid_220.0
207,4,e_pracid_239.0
208,4,e_pracid_243.0
209,4,e_pracid_254.0
210,4,e_pracid_59.0
211,4,e_pracid_9.0
188,3,e_pracid_184.0
186,3,e_pracid_10.0
187,3,e_pracid_148.0
193,3,e_pracid_231.0
189,3,e_pracid_196.0
191,3,e_pracid_213.0
192,3,e_pracid_224.0
194,3,e_pracid_232.0
195,3,e_pracid_50.0
190,3,e_pracid_205.0
162,2,e_pracid_154.0
167,2,e_pracid_222.0
166,2,e_pracid_215.0
165,2,e_pracid_197.0
164,2,e_pracid_192.0
163,2,e_pracid_186.0
159,2,e_pracid_117.0
161,2,e_pracid_149.0
160,2,e_pracid_139.0
158,2,e_pracid_116.0
169,2,e_pracid_3.0
168,2,e_pracid_226.0
180,2,e_pracid_94.0
170,2,e_pracid_47.0
176,2,e_pracid_79.0
171,2,e_pracid_53.0
181,2,e_pracid_99.0
179,2,e_pracid_93.0
177,2,e_pracid_82.0
178,2,e_pracid_84.0
175,2,e_pracid_75.0
174,2,e_pracid_61.0
173,2,e_pracid_6.0
172,2,e_pracid_54.0
150,1,e_pracid_51.0
145,1,e_pracid_233.0
146,1,e_pracid_24.0
147,1,e_pracid_244.0
148,1,e_pracid_45.0
149,1,e_pracid_46.0
151,1,e_pracid_52.0
152,1,e_pracid_88.0
153,1,e_pracid_91.0
154,1,e_pracid_97.0
155,1,e_pracid_98.0
143,1,e_pracid_223.0
144,1,e_pracid_229.0
142,1,e_pracid_221.0
133,1,e_pracid_100.0
140,1,e_pracid_187.0
139,1,e_pracid_176.0
138,1,e_pracid_16.0
137,1,e_pracid_15.0
136,1,e_pracid_136.0
135,1,e_pracid_135.0
134,1,e_pracid_111.0
141,1,e_pracid_218.0
46,0,e_pracid_17.0
44,0,e_pracid_168.0
45,0,e_pracid_169.0
47,0,e_pracid_171.0
48,0,e_pracid_172.0
42,0,e_pracid_164.0
