,Value,Feature
35,0.7160890520509511,anxiety_or_depression_in_last_3y
34,0.44180440395510717,drinking_status_Ex drinker
33,0.36081501885135664,cfs
32,0.3087982709428555,epilepsy
31,0.2709182609206692,ckd
30,0.2687518074806178,drinking_status_Current drinker
29,0.26205970707473164,smi
28,0.24963187925874075,weight_category_Overweight
27,0.1754051177607178,weight_category_Healthy weight
26,0.16788874781959318,binned_age_at_dx_80-95
25,0.12222565578473377,osteoporosis
24,0.11579378494719574,Ethnicity_Black
23,0.10324640573022337,e2015_imd_5_1.0
22,0.09537344920893324,Ethnicity_Mixed
21,0.09366546339327873,copd
20,0.0917107090093556,drinking_status_Non drinker
19,0.057129659795682054,gender
18,0.04931990165029757,binned_age_at_dx_35-50
17,0.046924416031585786,asthma
16,0.013301000864217821,weight_category_Obese
15,0.009215669880603886,chd
14,0.007245326856592594,e2015_imd_5_2.0
13,-0.0042242620145779754,Ethnicity_White
12,-0.00984399802591326,hypertension
11,-0.03274595119703596,e2015_imd_5_4.0
10,-0.034304857268367274,e2015_imd_5_5.0
9,-0.03441724636197903,heart_failure
8,-0.0374728474635121,weight_category_Underweight
7,-0.04372404078044806,e2015_imd_5_3.0
6,-0.04700552142825766,binned_age_at_dx_65-80
5,-0.06628084440365098,binned_age_at_dx_95-110
4,-0.09375984029098416,Ethnicity_S_Asian
3,-0.10420540029702438,binned_age_at_dx_50-65
2,-0.11346624850960385,Ethnicity_Other
1,-0.401148267079199,weight_category_Unspecified
0,-0.8025500371041138,drinking_status_Unspecified
