,Value,Feature
32,0.5045578316031807,anxiety_or_depression_in_last_3y
31,0.47468394457721086,drinking_status_Ex drinker
30,0.2901230397672015,drinking_status_Current drinker
29,0.2439247462620174,weight_category_Overweight
28,0.23128805543465555,multimorbidities
27,0.21048966819550846,Ethnicity_Black
26,0.20309646950748556,cfs
25,0.1602239588589596,smi
24,0.13832549348748904,weight_category_Obese
23,0.12107181343954843,drinking_status_Non drinker
22,0.10753958237109458,epilepsy
21,0.08396965270114864,age_at_dx
20,0.07220990652164895,e2015_imd_5_1.0
19,0.04939886930430598,Ethnicity_Mixed
18,0.04771831132286207,weight_category_Healthy weight
17,0.028373781596496415,e2015_imd_5_2.0
16,0.006159086385973317,weight_category_Underweight
15,0.0011951006303810034,gender
14,-0.018347022589453497,e2015_imd_5_5.0
13,-0.019485384431304924,e2015_imd_5_3.0
12,-0.020980558398381578,Ethnicity_White
11,-0.02560234298522003,osteoporosis
10,-0.06256333538649311,e2015_imd_5_4.0
9,-0.06659149564759148,ckd
8,-0.08030266425274757,heart_failure
7,-0.08038029897142027,copd
6,-0.10301671154068814,asthma
5,-0.10985246183300805,Ethnicity_Other
4,-0.1288675715575264,Ethnicity_S_Asian
3,-0.2303378828794084,chd
2,-0.2382010548817399,hypertension
1,-0.4359396917474439,weight_category_Unspecified
0,-0.8856908520730679,drinking_status_Unspecified
