,Value,Feature
278,0.6354107152834069,e_pracid_250.0
277,0.5069058811454132,e_pracid_92.0
275,0.4262479731993475,e_pracid_107.0
274,0.4245752483305091,e_pracid_31.0
273,0.41304984325940186,e_pracid_14.0
272,0.41103834083909635,e_pracid_137.0
270,0.3906541336212063,e_pracid_203.0
269,0.3682486864523673,e_pracid_217.0
267,0.3255965237199603,e_pracid_12.0
266,0.3120297058647871,e_pracid_116.0
265,0.3114503637552681,e_pracid_151.0
264,0.29275111862241404,e_pracid_106.0
263,0.28684976345172103,e_pracid_40.0
262,0.2857392210701536,e_pracid_73.0
261,0.2851010413093509,e_pracid_175.0
259,0.2708403404798396,e_pracid_233.0
257,0.2604440930106792,e_pracid_41.0
256,0.25066468602608205,e_pracid_62.0
255,0.24881211104625858,e_pracid_210.0
254,0.2460434766553245,e_pracid_180.0
252,0.2381950344786466,e_pracid_81.0
251,0.23487788735914378,e_pracid_120.0
250,0.22334677468357594,e_pracid_177.0
249,0.22220190619009314,e_pracid_145.0
248,0.2200230123824012,e_pracid_181.0
247,0.2171231897644995,e_pracid_222.0
246,0.21365914788928342,e_pracid_79.0
245,0.21288261051356522,e_pracid_135.0
244,0.21270794485279898,e_pracid_117.0
243,0.20874452447150416,e_pracid_70.0
241,0.20281418893399752,e_pracid_54.0
239,0.19957678890460087,e_pracid_22.0
238,0.19085884097719952,e_pracid_59.0
237,0.18898701834031886,e_pracid_89.0
236,0.18066710925617568,e_pracid_53.0
235,0.1735932118258031,e_pracid_144.0
234,0.17256680941254837,e_pracid_84.0
233,0.172421706144971,e_pracid_201.0
232,0.17104613215476697,e_pracid_43.0
230,0.16818050553224304,e_pracid_255.0
229,0.16786026053487402,e_pracid_114.0
228,0.16537593520314817,e_pracid_39.0
227,0.16357789402570005,e_pracid_142.0
226,0.1591478554230147,e_pracid_162.0
225,0.15780526374601908,e_pracid_8.0
222,0.15511070967608676,e_pracid_2.0
221,0.1541041860017002,e_pracid_124.0
219,0.14605640823965438,e_pracid_198.0
217,0.14259893032256918,e_pracid_36.0
216,0.13640289069996966,e_pracid_72.0
215,0.12898722074059157,e_pracid_253.0
214,0.12861903882312492,e_pracid_219.0
213,0.12688229575985607,e_pracid_230.0
212,0.12659923340052684,e_pracid_44.0
211,0.12439276337236009,e_pracid_170.0
210,0.12193937116050033,e_pracid_155.0
209,0.1214982703145636,e_pracid_118.0
208,0.12120176735255817,e_pracid_136.0
206,0.10980121858358617,e_pracid_220.0
205,0.10879873259064177,e_pracid_5.0
204,0.10875881436497134,e_pracid_152.0
203,0.10837319027481292,e_pracid_121.0
202,0.10497768199525949,e_pracid_240.0
200,0.09703805283687805,e_pracid_211.0
199,0.09391142830951905,e_pracid_166.0
198,0.08866718245088304,e_pracid_205.0
197,0.08754231349257138,e_pracid_68.0
196,0.08699117312879932,e_pracid_239.0
195,0.08613382398669842,e_pracid_179.0
194,0.08598396222300694,e_pracid_97.0
193,0.08339447372188513,e_pracid_190.0
192,0.08168447543811509,e_pracid_140.0
191,0.08139639572240598,e_pracid_112.0
190,0.07742372923586562,e_pracid_33.0
189,0.07561575029185627,e_pracid_157.0
188,0.07457236011537419,e_pracid_13.0
187,0.07406397001324695,e_pracid_178.0
186,0.07267111958315023,e_pracid_133.0
184,0.06945327202074578,e_pracid_35.0
183,0.06378492397473202,e_pracid_182.0
182,0.06369377253023518,e_pracid_161.0
181,0.060884118919121114,e_pracid_174.0
180,0.060667620454497445,e_pracid_212.0
179,0.055469729468690596,e_pracid_207.0
178,0.05360522114182842,e_pracid_204.0
177,0.05124027294011206,e_pracid_132.0
176,0.049979739220508745,e_pracid_78.0
175,0.0499485366428907,e_pracid_141.0
174,0.04858316392058357,e_pracid_34.0
171,0.042931266704730235,e_pracid_61.0
169,0.039571198284759794,e_pracid_223.0
168,0.038288293761191895,e_pracid_105.0
167,0.03642142067500097,e_pracid_192.0
166,0.03639591986123446,e_pracid_27.0
