,Value,Feature
279,0.6945399070758019,smi
276,0.4433725129760806,drinking_status_Ex drinker
271,0.410075579082813,ckd
268,0.3531603823384025,binned_age_at_dx_35-50
260,0.274406276487524,drinking_status_Current drinker
258,0.2627656891066761,epilepsy
253,0.2421627250186361,asthma
242,0.20514118380503696,copd
240,0.20150505135426386,weight_category_Overweight
231,0.1690721369496907,Ethnicity_Mixed
224,0.1566353064526033,hypertension
223,0.15638918187254955,weight_category_Obese
220,0.15037276232855473,drinking_status_Non drinker
218,0.1428002460041917,binned_age_at_dx_95-110
207,0.11691808591808482,chd
201,0.09707113724116505,e2015_imd_5_1.0
185,0.0721233414080105,Ethnicity_Black
173,0.04683701958320472,binned_age_at_dx_50-65
172,0.04350976418611877,cfs
170,0.041698036436867716,e2015_imd_5_2.0
154,0.02382793475681651,osteoporosis
153,0.02324931661413627,heart_failure
149,0.018189134777040428,anxiety_or_depression_in_last_3y
148,0.017578777766235017,weight_category_Healthy weight
138,0.0032956464057624386,Ethnicity_White
135,-0.0005206364520704347,e2015_imd_5_3.0
107,-0.03848320892199227,binned_age_at_dx_80-95
105,-0.04324200829180487,e2015_imd_5_5.0
91,-0.06165636432414355,Ethnicity_Other
87,-0.06568548150875575,gender
80,-0.0759847061050506,weight_category_Underweight
77,-0.08516589498961823,binned_age_at_dx_65-80
68,-0.09470384876712616,e2015_imd_5_4.0
39,-0.18253208027229115,Ethnicity_S_Asian
13,-0.29918562472096977,weight_category_Unspecified
0,-0.8678488716251275,drinking_status_Unspecified
