,Value,Feature
283,0.7297881888797124,e_pracid_249.0
282,0.6694855239679385,e_pracid_91.0
281,0.6230978136860035,e_pracid_31.0
279,0.5235288865260166,e_pracid_136.0
278,0.44238988381934474,e_pracid_14.0
276,0.42162890895429755,e_pracid_105.0
275,0.38877308180318093,e_pracid_106.0
274,0.35245876125817494,e_pracid_202.0
273,0.33422471302472434,e_pracid_79.0
272,0.3273312162319878,e_pracid_41.0
271,0.31973552639364655,e_pracid_72.0
269,0.3000848124350332,e_pracid_39.0
268,0.2888423769631018,e_pracid_150.0
267,0.2829736350041717,e_pracid_12.0
266,0.2773665583738317,e_pracid_115.0
265,0.2770653498089391,e_pracid_215.0
264,0.2736579634125556,e_pracid_180.0
263,0.26971674928015965,e_pracid_174.0
261,0.2563432838982062,e_pracid_70.0
260,0.2563382018309613,e_pracid_141.0
259,0.25469192741975333,e_pracid_62.0
258,0.24987098760223325,e_pracid_123.0
256,0.23653035087157356,e_pracid_132.0
255,0.23536700678526315,e_pracid_22.0
254,0.23180306706321976,e_pracid_59.0
253,0.23046466473808547,e_pracid_81.0
252,0.22680990120308406,e_pracid_113.0
251,0.22379004144497078,e_pracid_133.0
250,0.22091421899857566,e_pracid_254.0
249,0.22086319244357955,e_pracid_232.0
247,0.2090183451223254,e_pracid_216.0
246,0.198289909725057,e_pracid_209.0
245,0.1930993445085329,e_pracid_54.0
244,0.19115751622700958,e_pracid_117.0
243,0.1862718152156583,e_pracid_179.0
242,0.18184601530051497,e_pracid_168.0
241,0.17944810116346696,e_pracid_73.0
239,0.17765126486734917,e_pracid_238.0
238,0.17077496629898242,e_pracid_42.0
235,0.16911719368281683,e_pracid_218.0
234,0.16839364222872047,e_pracid_119.0
233,0.16739317783747537,e_pracid_40.0
232,0.16459662980169457,e_pracid_44.0
231,0.16318873822318586,e_pracid_143.0
229,0.15904701050624648,e_pracid_2.0
228,0.15592387901612972,e_pracid_252.0
227,0.15495874555020497,e_pracid_177.0
226,0.15228530247315036,e_pracid_36.0
225,0.1495037021760995,e_pracid_176.0
224,0.14891437279421166,e_pracid_257.0
223,0.14739594199730763,e_pracid_151.0
222,0.14559628219143925,e_pracid_88.0
221,0.14037403115510766,e_pracid_95.0
220,0.1379090434021609,e_pracid_8.0
218,0.1342994054065724,e_pracid_139.0
217,0.12884116556396596,e_pracid_182.0
216,0.12807213148293925,e_pracid_1.0
215,0.12481362535016224,e_pracid_53.0
214,0.12284724822771174,e_pracid_82.0
213,0.12264503360026466,e_pracid_229.0
211,0.12120359924853394,e_pracid_200.0
210,0.11912348481211063,e_pracid_144.0
208,0.11030790815664891,e_pracid_140.0
207,0.10244043264697127,e_pracid_135.0
205,0.0996117573659335,e_pracid_63.0
204,0.09946429600863552,e_pracid_111.0
203,0.09082898866057915,e_pracid_68.0
202,0.08882798046621218,e_pracid_32.0
201,0.08759573942315944,e_pracid_161.0
200,0.0839731429550481,e_pracid_245.0
199,0.08360451896409646,e_pracid_93.0
198,0.08093998335221547,e_pracid_221.0
197,0.0770942767921881,e_pracid_231.0
196,0.07676464399510985,e_pracid_205.0
195,0.07430281255111038,e_pracid_33.0
193,0.07042527955688303,e_pracid_35.0
192,0.07026051020905073,e_pracid_189.0
