,Value,Feature
280,0.5402778302846039,anxiety_or_depression_in_last_3y
277,0.43220454436982597,drinking_status_Ex drinker
270,0.3016355921890003,drinking_status_Current drinker
262,0.2602338303758873,multimorbidities
257,0.2407540214539412,cfs
248,0.21991258354812035,weight_category_Overweight
240,0.1785059284565871,binned_age_at_dx_80-95
237,0.17020530331774078,Ethnicity_Mixed
236,0.16951592177564812,Ethnicity_Black
230,0.16185668737770487,weight_category_Healthy weight
219,0.13590689572042303,weight_category_Obese
212,0.12127770842578305,epilepsy
209,0.11691808676965701,e2015_imd_5_1.0
206,0.10084680136000397,drinking_status_Non drinker
194,0.07331184652306474,smi
166,0.029270168741691242,binned_age_at_dx_35-50
163,0.02602300482412929,copd
151,0.008189961914107818,e2015_imd_5_2.0
144,0.004959747872462553,gender
141,0.003937104837034743,Ethnicity_Other
136,-0.004337422575165773,ckd
117,-0.027572400579059228,binned_age_at_dx_65-80
116,-0.029595361907187284,e2015_imd_5_5.0
110,-0.04090365473687966,e2015_imd_5_4.0
109,-0.044580360011963596,binned_age_at_dx_50-65
103,-0.055097021610655494,e2015_imd_5_3.0
101,-0.0579391089158013,heart_failure
99,-0.058472862829669445,osteoporosis
69,-0.12179415160242073,Ethnicity_White
63,-0.13611132617821797,binned_age_at_dx_95-110
46,-0.1670584930500793,weight_category_Underweight
36,-0.19320588903367186,asthma
33,-0.20798943538905046,hypertension
30,-0.22235216789896065,Ethnicity_S_Asian
19,-0.27740497130807756,chd
11,-0.3511056631671302,weight_category_Unspecified
0,-0.8351749274897913,drinking_status_Unspecified
