,Value,Feature
275,0.7779824547735227,e_pracid_250.0
273,0.5973643669049225,e_pracid_32.0
272,0.5413969242965077,e_pracid_92.0
271,0.4255111529105409,e_pracid_137.0
268,0.36391496808572793,e_pracid_217.0
267,0.340812378923389,e_pracid_152.0
266,0.33356161752116403,e_pracid_106.0
265,0.3277554937691067,e_pracid_73.0
264,0.3238970158365397,e_pracid_80.0
261,0.30147868917660803,e_pracid_198.0
258,0.2861060244160889,e_pracid_2.0
257,0.2835273970386947,e_pracid_233.0
256,0.28165459231270223,e_pracid_181.0
255,0.2798781019175336,e_pracid_40.0
254,0.27650665598598934,e_pracid_162.0
253,0.2502091065554846,e_pracid_114.0
252,0.24983216242053313,e_pracid_180.0
251,0.2465171706613505,e_pracid_42.0
250,0.24152218166391257,e_pracid_54.0
249,0.24006739767020888,e_pracid_210.0
248,0.23985347895600945,e_pracid_55.0
247,0.23249199577539176,e_pracid_151.0
246,0.22703325044467842,e_pracid_203.0
245,0.2215202837744291,e_pracid_135.0
243,0.20375745933654799,e_pracid_107.0
242,0.20311463066253332,e_pracid_74.0
241,0.19945574834593735,e_pracid_60.0
240,0.19782842643172863,e_pracid_37.0
239,0.194723305650094,e_pracid_230.0
238,0.19419824614612502,e_pracid_170.0
237,0.18749296065680532,e_pracid_177.0
236,0.18727539629272838,e_pracid_161.0
235,0.18700914614086991,e_pracid_239.0
233,0.18288414383361726,e_pracid_253.0
232,0.18146277172221012,e_pracid_14.0
231,0.1760743477345796,e_pracid_69.0
230,0.17412907031584912,e_pracid_136.0
229,0.17129201971484884,e_pracid_43.0
228,0.17024740902592042,e_pracid_63.0
227,0.1652239721260557,e_pracid_216.0
225,0.16059327760000647,e_pracid_118.0
224,0.1596450690840704,e_pracid_255.0
223,0.15812486214588248,e_pracid_12.0
221,0.15557116727402873,e_pracid_133.0
220,0.15382234857648436,e_pracid_97.0
217,0.14021207691960214,e_pracid_175.0
216,0.13414375283637825,e_pracid_142.0
215,0.13336759997317743,e_pracid_179.0
214,0.1277384987389097,e_pracid_120.0
213,0.12766257284746194,e_pracid_86.0
212,0.12562276148794457,e_pracid_132.0
211,0.12446727526660396,e_pracid_116.0
209,0.12076624893410008,e_pracid_196.0
208,0.1194126179686797,e_pracid_41.0
207,0.11167339100541673,e_pracid_117.0
206,0.11153994122714173,e_pracid_71.0
205,0.1105684219184638,e_pracid_248.0
204,0.10850049582728666,e_pracid_8.0
203,0.10840180002321108,e_pracid_45.0
202,0.1052812594148726,e_pracid_166.0
201,0.10148179013762544,e_pracid_204.0
200,0.09893108945238463,e_pracid_1.0
199,0.09622634303660814,e_pracid_222.0
197,0.0920721214010925,e_pracid_174.0
196,0.08851053275524341,e_pracid_85.0
195,0.08115087780002371,e_pracid_82.0
194,0.08070032546253975,e_pracid_62.0
193,0.07994460146818005,e_pracid_140.0
192,0.07357998013287893,e_pracid_124.0
191,0.0726015507541957,e_pracid_257.0
189,0.07102505034134296,e_pracid_30.0
188,0.06857802901561136,e_pracid_44.0
187,0.06787032799151049,e_pracid_157.0
185,0.06673353737033072,e_pracid_182.0
184,0.06526126621581811,e_pracid_49.0
183,0.06378015246206134,e_pracid_212.0
182,0.06000481748932828,e_pracid_34.0
181,0.05944607760685105,e_pracid_206.0
180,0.05843228072918213,e_pracid_112.0
179,0.05801833891991548,e_pracid_6.0
177,0.054805484960087296,e_pracid_220.0
176,0.05292826038134173,e_pracid_183.0
175,0.05201586124212671,e_pracid_141.0
174,0.05111304484876738,e_pracid_79.0
173,0.0490186211089148,e_pracid_211.0
172,0.048755758410629076,e_pracid_123.0
171,0.048657678206155616,e_pracid_145.0
170,0.04646805978434336,e_pracid_21.0
169,0.04640138371429387,e_pracid_125.0
168,0.04586699254040118,e_pracid_35.0
167,0.04411423666397947,e_pracid_178.0
166,0.04292289843029802,e_pracid_232.0
164,0.03780433711080217,e_pracid_28.0
162,0.034410633192026134,e_pracid_167.0
161,0.033984315188154986,e_pracid_13.0
160,0.031420595534057,e_pracid_127.0
