,Value,Feature
274,0.7457436389634903,smi
270,0.41074149013912015,drinking_status_Ex drinker
269,0.3824534932056196,ckd
263,0.31312106255021765,age_at_dx
262,0.30339051559056784,asthma
260,0.29869283905952587,drinking_status_Current drinker
259,0.2899237421728715,epilepsy
244,0.20414668200375977,weight_category_Obese
234,0.18449906365767163,Ethnicity_Black
226,0.16241674907253417,weight_category_Overweight
222,0.1578963021258532,copd
219,0.14227815689496126,hypertension
218,0.14178981412680294,chd
210,0.12194162327051537,drinking_status_Non drinker
198,0.09284343077169845,gender
190,0.07127965876600058,cfs
186,0.06771981196936956,weight_category_Healthy weight
178,0.0560739480454777,e2015_imd_5_2.0
165,0.040785563298285504,e2015_imd_5_1.0
163,0.03759389726832251,Ethnicity_White
156,0.02021549389811853,osteoporosis
154,0.017719269258199805,anxiety_or_depression_in_last_3y
151,0.015076695103230791,e2015_imd_5_3.0
127,-0.02114567433661931,Ethnicity_Other
113,-0.036355318380961,e2015_imd_5_4.0
104,-0.050352126180012495,heart_failure
86,-0.07555471515913866,e2015_imd_5_5.0
80,-0.08656214159350636,Ethnicity_Mixed
60,-0.11435897208897479,Ethnicity_S_Asian
47,-0.13702110679586105,weight_category_Underweight
10,-0.29723596334290797,weight_category_Unspecified
0,-0.8313497795622656,drinking_status_Unspecified
