,Value,Feature
276,0.6769821650206044,e_pracid_250.0
274,0.5099053350503221,e_pracid_31.0
273,0.503771342389768,e_pracid_92.0
271,0.39271901132333575,e_pracid_54.0
270,0.3914491972063995,e_pracid_116.0
269,0.3660134063444883,e_pracid_72.0
268,0.35805008211577405,e_pracid_137.0
267,0.34091375177976896,e_pracid_107.0
266,0.33871221832609605,e_pracid_203.0
265,0.32751731250632726,e_pracid_80.0
264,0.30307766559485533,e_pracid_14.0
263,0.2977372709403005,e_pracid_180.0
262,0.29743579801040726,e_pracid_151.0
261,0.2960271657485817,e_pracid_12.0
260,0.29477785020566966,e_pracid_198.0
258,0.28128368971370693,e_pracid_41.0
256,0.25096790971019395,e_pracid_170.0
255,0.24946579704786806,e_pracid_182.0
254,0.24094224238770862,e_pracid_39.0
253,0.23210356828981227,e_pracid_40.0
252,0.2319080650054307,e_pracid_142.0
251,0.2311849026228848,e_pracid_106.0
250,0.22679371145696622,e_pracid_230.0
249,0.21873336802473833,e_pracid_217.0
248,0.21395721341884244,e_pracid_133.0
246,0.2051718349152883,e_pracid_97.0
245,0.20375384523201043,e_pracid_120.0
244,0.2006879019068514,e_pracid_53.0
243,0.19987202519804184,e_pracid_233.0
242,0.19952306901056693,e_pracid_210.0
241,0.19791573272232202,e_pracid_145.0
240,0.1956591962172492,e_pracid_220.0
239,0.19210502909509855,e_pracid_42.0
237,0.18041048935633366,e_pracid_2.0
236,0.1696543537344655,e_pracid_175.0
234,0.16587385489196252,e_pracid_124.0
233,0.15978294818654568,e_pracid_222.0
232,0.15833767061929185,e_pracid_68.0
231,0.15800052681143065,e_pracid_255.0
230,0.15777182435830425,e_pracid_82.0
229,0.14908434622691372,e_pracid_136.0
228,0.1445539363218535,e_pracid_59.0
227,0.14071301587190038,e_pracid_135.0
224,0.13532883616424074,e_pracid_114.0
223,0.1350829722347799,e_pracid_63.0
222,0.13169021303083414,e_pracid_62.0
221,0.1290035518188953,e_pracid_86.0
219,0.12790482590660324,e_pracid_8.0
218,0.12729640298485098,e_pracid_177.0
217,0.12672647275502544,e_pracid_117.0
216,0.12148061877584829,e_pracid_239.0
215,0.11741817900174498,e_pracid_25.0
214,0.11066439586413879,e_pracid_152.0
213,0.11031162389327313,e_pracid_257.0
212,0.10538827766688529,e_pracid_73.0
211,0.10327003699497338,e_pracid_44.0
210,0.1023714217982317,e_pracid_70.0
209,0.10223007890989329,e_pracid_161.0
207,0.09989061687346582,e_pracid_201.0
206,0.09987732135677692,e_pracid_162.0
203,0.0980247362105679,e_pracid_22.0
202,0.09689022444130904,e_pracid_118.0
201,0.09309002297141404,e_pracid_94.0
200,0.09282997547227971,e_pracid_178.0
199,0.08771400206468398,e_pracid_253.0
198,0.08677645890928269,e_pracid_36.0
196,0.08412135897040879,e_pracid_85.0
195,0.08374953832083538,e_pracid_166.0
194,0.0832970740715161,e_pracid_101.0
193,0.0790880889152305,e_pracid_26.0
192,0.0725215999385833,e_pracid_83.0
191,0.07137000509610765,e_pracid_176.0
190,0.06483366397700421,e_pracid_140.0
189,0.0641462157933207,e_pracid_144.0
187,0.0612401552244096,e_pracid_48.0
186,0.05935677040553613,e_pracid_232.0
185,0.058474434581164934,e_pracid_174.0
184,0.05802016163051647,e_pracid_7.0
183,0.05718166703181211,e_pracid_43.0
182,0.05690930834951588,e_pracid_1.0
181,0.05563509045010406,e_pracid_61.0
180,0.05303104082951974,e_pracid_248.0
179,0.051229398315478805,e_pracid_169.0
178,0.050443739821896136,e_pracid_79.0
176,0.04810943401024216,e_pracid_108.0
175,0.04794148987452863,e_pracid_32.0
174,0.045228297034653614,e_pracid_236.0
173,0.04317587131080025,e_pracid_33.0
172,0.042980637909232934,e_pracid_15.0
170,0.039916605029774795,e_pracid_18.0
169,0.038695970129760074,e_pracid_13.0
168,0.03843925109403595,e_pracid_223.0
167,0.037635772866235956,e_pracid_226.0
166,0.03580543283411884,e_pracid_27.0
165,0.03529132387371584,e_pracid_196.0
164,0.034283346766377176,e_pracid_4.0
163,0.033969238406444,e_pracid_246.0
162,0.03335798907461492,e_pracid_190.0
161,0.03008235500329006,e_pracid_127.0
160,0.029178926411605608,e_pracid_126.0
159,0.028214263358463748,e_pracid_165.0
158,0.027448340891001476,e_pracid_34.0
157,0.02418494767081931,e_pracid_219.0
156,0.02290717133774503,e_pracid_105.0
155,0.02097427221046987,e_pracid_93.0
154,0.020666003676954137,e_pracid_192.0
153,0.01942760469341061,e_pracid_141.0
152,0.017901541570263208,e_pracid_179.0
151,0.016218785901090497,e_pracid_213.0
150,0.015038261414819114,e_pracid_50.0
149,0.0147076340781102,e_pracid_244.0
148,0.014205391660311801,e_pracid_208.0
147,0.013592193872689578,e_pracid_57.0
146,0.013252816433129396,e_pracid_58.0
145,0.011560784004740112,e_pracid_21.0
144,0.010865389557256286,e_pracid_207.0
143,0.009557437006413908,e_pracid_123.0
142,0.00878485652921188,e_pracid_16.0
141,0.008560972859604778,e_pracid_143.0
140,0.007106531523326145,e_pracid_186.0
139,0.0032036497261408916,e_pracid_129.0
138,0.0030814808205281087,e_pracid_87.0
137,0.002806365670377343,e_pracid_77.0
136,0.0010131679785770498,e_pracid_183.0
135,0.0002113310497067766,e_pracid_89.0
134,0.000178853065199811,e_pracid_204.0
133,-0.005130919450574138,e_pracid_216.0
132,-0.00668495670396222,e_pracid_35.0
131,-0.008879392055820246,e_pracid_211.0
130,-0.00939305861479679,e_pracid_130.0
129,-0.009927565766561298,e_pracid_193.0
128,-0.009957555253322757,e_pracid_199.0
127,-0.010582590996474286,e_pracid_138.0
126,-0.012630692825179684,e_pracid_212.0
125,-0.014478530190858022,e_pracid_5.0
124,-0.014590816468105913,e_pracid_247.0
123,-0.016000817666746218,e_pracid_112.0
122,-0.016489628908262433,e_pracid_69.0
121,-0.016601227900288937,e_pracid_30.0
120,-0.01765422021228429,e_pracid_98.0
119,-0.018797214807916147,e_pracid_241.0
118,-0.0193740606468023,e_pracid_131.0
117,-0.020147143780867294,e_pracid_132.0
116,-0.020909795970617477,e_pracid_90.0
115,-0.024622835534238347,e_pracid_209.0
114,-0.024685196433666762,e_pracid_121.0
113,-0.024948770285693096,e_pracid_91.0
111,-0.027028116686231524,e_pracid_245.0
110,-0.02768382388772561,e_pracid_155.0
108,-0.03133233934311525,e_pracid_46.0
107,-0.03568602786162142,e_pracid_157.0
106,-0.036470679691137244,e_pracid_51.0
104,-0.03865105803704428,e_pracid_146.0
103,-0.04164420724718504,e_pracid_29.0
100,-0.04384507836611695,e_pracid_172.0
99,-0.04387330780481426,e_pracid_189.0
97,-0.04621094102772299,e_pracid_56.0
96,-0.047830006075208854,e_pracid_17.0
94,-0.05049977961480571,e_pracid_84.0
92,-0.05349566611722215,e_pracid_158.0
91,-0.05363647052327983,e_pracid_225.0
90,-0.05416292843205882,e_pracid_45.0
89,-0.05417116993248767,e_pracid_167.0
88,-0.055869989187685466,e_pracid_74.0
87,-0.05593952129403525,e_pracid_99.0
86,-0.05776229770954044,e_pracid_9.0
84,-0.060612647576611105,e_pracid_38.0
83,-0.06415446308026329,e_pracid_235.0
81,-0.06801799374192136,e_pracid_66.0
80,-0.07883829061306237,e_pracid_19.0
79,-0.08426089599289086,e_pracid_149.0
78,-0.08453016214566414,e_pracid_240.0
77,-0.08621819455545447,e_pracid_65.0
76,-0.09485043550474538,e_pracid_224.0
75,-0.09510569265391657,e_pracid_111.0
74,-0.09961619237592163,e_pracid_163.0
72,-0.10282386006057531,e_pracid_184.0
71,-0.10360060284996883,e_pracid_227.0
70,-0.10549260086361739,e_pracid_251.0
69,-0.10729339672402129,e_pracid_205.0
68,-0.11026614929574333,e_pracid_20.0
67,-0.11049353313547217,e_pracid_6.0
66,-0.1109021726079326,e_pracid_218.0
65,-0.11153277724851386,e_pracid_24.0
64,-0.11525354629677514,e_pracid_125.0
63,-0.11572265690259441,e_pracid_49.0
62,-0.11745012602420929,e_pracid_156.0
61,-0.11747568210963873,e_pracid_214.0
60,-0.11856335400096023,e_pracid_206.0
59,-0.11930891479754625,e_pracid_113.0
58,-0.1194769596046137,e_pracid_242.0
57,-0.12128904913233378,e_pracid_154.0
56,-0.12219918014349133,e_pracid_11.0
55,-0.12663592656703776,e_pracid_229.0
54,-0.12750202036733668,e_pracid_3.0
53,-0.12781734344842616,e_pracid_173.0
52,-0.13345029920847326,e_pracid_249.0
51,-0.13445654833258486,e_pracid_221.0
50,-0.13575143321037958,e_pracid_10.0
49,-0.1383717848779059,e_pracid_252.0
48,-0.14280754120422412,e_pracid_81.0
47,-0.14604262962494594,e_pracid_160.0
46,-0.15010708440217901,e_pracid_200.0
45,-0.15349151741709494,e_pracid_60.0
43,-0.15716429710718388,e_pracid_150.0
42,-0.1581620858199331,e_pracid_188.0
41,-0.16006895707564153,e_pracid_191.0
40,-0.16245960541235321,e_pracid_88.0
39,-0.16269621497327807,e_pracid_75.0
38,-0.16316120732688755,e_pracid_23.0
37,-0.16634444513895688,e_pracid_52.0
