,Value,Feature
275,0.5282818957698946,smi
272,0.41169978198511564,drinking_status_Ex drinker
259,0.2866539870636268,drinking_status_Current drinker
257,0.27450470610648275,age_at_dx
247,0.21141328510025936,ckd
238,0.1807283731915107,weight_category_Overweight
235,0.16808709821248605,weight_category_Healthy weight
226,0.1404258369085336,drinking_status_Non drinker
225,0.13710804131541604,asthma
220,0.1281160229825983,epilepsy
208,0.10214143642312962,gender
205,0.09925652793240003,e2015_imd_5_1.0
204,0.09851643958084774,Ethnicity_Black
197,0.08421386127607083,Ethnicity_Other
188,0.0612466486325222,e2015_imd_5_2.0
177,0.04816478980593089,weight_category_Obese
171,0.042073294050777546,anxiety_or_depression_in_last_3y
112,-0.026039357512064844,copd
109,-0.0304062843131233,Ethnicity_White
105,-0.03667021916476373,e2015_imd_5_3.0
102,-0.04298251807201107,hypertension
101,-0.04380038189226654,multimorbidities
98,-0.044838895015412925,weight_category_Underweight
95,-0.04785039582826166,chd
93,-0.05309149811211737,Ethnicity_Mixed
85,-0.05896844210471917,e2015_imd_5_5.0
82,-0.0657248536207521,e2015_imd_5_4.0
73,-0.10009285675698665,Ethnicity_S_Asian
44,-0.1568650006243541,cfs
30,-0.19719492912047698,osteoporosis
15,-0.29123054605325294,heart_failure
11,-0.35300170451982926,weight_category_Unspecified
0,-0.83963994428259,drinking_status_Unspecified
