,Value,Feature
36,0.35696567576517846,smi
35,0.3496272881362959,drinking_status_Ex drinker
34,0.3193621717891944,binned_age_at_dx_95-110
33,0.2554902938014047,heart_failure
32,0.2378193894165565,drinking_status_Non drinker
31,0.22001958170091956,Ethnicity_Black
30,0.20970959935246875,epilepsy
29,0.19891807423540134,weight_category_Overweight
28,0.17916196225382672,weight_category_Healthy weight
27,0.175264627888629,multimorbidities
26,0.1514644592789259,cfs
25,0.13908221153197445,binned_age_at_dx_80-95
24,0.12786910465681275,drinking_status_Current drinker
23,0.10494612280906548,ckd
22,0.09761653669805669,Ethnicity_Mixed
21,0.06279987395055589,e2015_imd_5_4.0
20,0.03432701085207069,Ethnicity_White
19,0.018837815153616193,gender
18,0.01725602361243956,anxiety_or_depression_in_last_3y
17,0.005318356414865973,binned_age_at_dx_35-50
16,-0.0008825432153148216,e2015_imd_5_2.0
15,-0.007415585856928939,e2015_imd_5_5.0
14,-0.011716263892729768,copd
13,-0.015420663140019605,e2015_imd_5_1.0
12,-0.02392160679026448,weight_category_Obese
11,-0.039825262206246145,e2015_imd_5_3.0
10,-0.061719122144661624,Ethnicity_Other
9,-0.1237206812540926,osteoporosis
8,-0.14428475522069,chd
7,-0.1452164163482141,binned_age_at_dx_65-80
6,-0.14969397903025847,weight_category_Underweight
5,-0.16868458501579486,asthma
4,-0.20520863113665688,weight_category_Unspecified
3,-0.2166709675461499,hypertension
2,-0.2909881875743342,Ethnicity_S_Asian
1,-0.31929050385576885,binned_age_at_dx_50-65
0,-0.7160599626776111,drinking_status_Unspecified
