,Value,Feature
31,0.3090715140438246,drinking_status_Ex drinker
30,0.23203155946735918,ckd
29,0.2117137120071726,smi
28,0.16675475176020899,heart_failure
27,0.16053830427336654,age_at_dx
26,0.15880987647150677,drinking_status_Non drinker
25,0.1537341302092677,epilepsy
24,0.13893019552871935,anxiety_or_depression_in_last_3y
23,0.1360697550413307,drinking_status_Current drinker
22,0.08585827220394401,weight_category_Obese
21,0.08497866996052118,copd
20,0.08116125535247738,e2015_imd_5_4.0
19,0.0717007862198964,weight_category_Healthy weight
18,0.06765057390712509,chd
17,0.05723426108858641,Ethnicity_Black
16,0.04346994593263905,cfs
15,0.043363000089151366,weight_category_Overweight
14,0.03206368079952857,osteoporosis
13,0.03180844580558114,Ethnicity_White
12,0.029212835018665253,gender
11,0.015604167399376345,asthma
10,0.012595755173881345,e2015_imd_5_5.0
9,-0.005985279455211956,Ethnicity_Mixed
8,-0.006225063351414295,hypertension
7,-0.022680459656669236,e2015_imd_5_3.0
6,-0.022871916164831384,Ethnicity_Other
5,-0.02987042902616212,weight_category_Underweight
4,-0.03379514630095455,e2015_imd_5_2.0
3,-0.037458977292897946,e2015_imd_5_1.0
2,-0.06036308399828857,Ethnicity_S_Asian
1,-0.1712292022109937,weight_category_Unspecified
0,-0.6041287182808253,drinking_status_Unspecified
