,Value,Feature
32,0.2854769877873099,drinking_status_Ex drinker
31,0.17448096632736496,smi
30,0.16736621082826603,drinking_status_Non drinker
29,0.1661093571164873,drinking_status_Current drinker
28,0.15603928392246413,age_at_dx
27,0.13144531271528373,multimorbidities
26,0.10033847914266342,epilepsy
25,0.09258602213140057,heart_failure
24,0.09161356305760389,ckd
23,0.08825562056394412,Ethnicity_Black
22,0.08351939389939207,weight_category_Obese
21,0.07160585185254717,weight_category_Overweight
20,0.04078477687255471,weight_category_Healthy weight
19,0.03827480583230477,gender
18,0.03792373993615331,cfs
17,0.03638227771156111,e2015_imd_5_4.0
16,0.03399343527188507,copd
15,0.022712110509770185,Ethnicity_White
14,0.013405121070138488,anxiety_or_depression_in_last_3y
13,0.008812476029979479,e2015_imd_5_5.0
12,-0.001778933218386537,e2015_imd_5_1.0
11,-0.009692512067908797,Ethnicity_Other
10,-0.013092945400795315,Ethnicity_Mixed
9,-0.018455123825263396,e2015_imd_5_3.0
8,-0.022418979973517234,weight_category_Underweight
7,-0.024686611986152768,e2015_imd_5_2.0
6,-0.039725315369962315,osteoporosis
5,-0.04522617683484048,chd
4,-0.08790818889327308,Ethnicity_S_Asian
3,-0.09910722704800785,asthma
2,-0.13625127283771438,hypertension
1,-0.1732169579392399,weight_category_Unspecified
0,-0.6186784710203249,drinking_status_Unspecified
