,Value,Feature
285,0.6709222526238038,binned_age_at_dx_50-65
283,0.5632121423758717,asthma
273,0.4228779821600535,drinking_status_Ex drinker
267,0.3760218908156752,cfs
256,0.296724557108104,hypertension
247,0.25011890778035534,anxiety_or_depression_in_last_3y
227,0.18839254345930384,gender
225,0.18100776054463413,Ethnicity_Black
224,0.17965858185417716,weight_category_Overweight
221,0.17391588682781692,epilepsy
214,0.1637302177276127,drinking_status_Non drinker
211,0.15858291378625383,copd
205,0.1410049584293226,drinking_status_Current drinker
200,0.12315085181304317,osteoporosis
192,0.09801860192724872,heart_failure
187,0.09311061762050526,weight_category_Obese
185,0.08450728981845218,e2015_imd_5_4.0
179,0.07529833490105546,weight_category_Healthy weight
166,0.04842899552081145,Ethnicity_White
164,0.04565859388755518,smi
159,0.033480124691270104,binned_age_at_dx_35-50
149,0.01776284355579654,Ethnicity_Other
142,-0.0006118118536139492,e2015_imd_5_3.0
129,-0.012147244562708633,e2015_imd_5_5.0
120,-0.01973505658135891,e2015_imd_5_1.0
116,-0.024459043684312388,ckd
113,-0.031670772022836524,chd
111,-0.03625740529577344,binned_age_at_dx_65-80
104,-0.046878819843964845,e2015_imd_5_2.0
81,-0.08995219229677283,Ethnicity_Mixed
78,-0.09486035840164089,binned_age_at_dx_95-110
66,-0.1333102323178653,weight_category_Underweight
64,-0.15211305034765812,Ethnicity_S_Asian
55,-0.20962294508106585,weight_category_Unspecified
28,-0.3022593305654377,binned_age_at_dx_80-95
1,-0.7224788013401808,drinking_status_Unspecified
