,Value,Feature
287,0.6233928009069256,e_pracid_22.0
286,0.5659657594993515,e_pracid_253.0
285,0.5623564067659337,e_pracid_166.0
284,0.5362371482427233,e_pracid_152.0
283,0.4957223516954723,e_pracid_132.0
282,0.4734346353913738,e_pracid_250.0
281,0.46520445182221254,e_pracid_31.0
280,0.462485826773258,e_pracid_50.0
279,0.44764092387405485,e_pracid_107.0
278,0.3986620125781107,e_pracid_53.0
277,0.3929491839691318,e_pracid_25.0
275,0.3770765950420985,e_pracid_235.0
274,0.3639384093295644,e_pracid_162.0
273,0.3530759997843416,e_pracid_170.0
272,0.3518112976184121,e_pracid_133.0
271,0.35073691717449834,e_pracid_6.0
270,0.3172235296139967,e_pracid_92.0
269,0.3165181828860307,e_pracid_39.0
268,0.31306357464988727,e_pracid_255.0
267,0.305429106721996,e_pracid_185.0
266,0.3030246903884671,e_pracid_191.0
265,0.30193277446323274,e_pracid_14.0
264,0.29829960549014667,e_pracid_174.0
263,0.2981998913551211,e_pracid_82.0
262,0.29716773921556144,e_pracid_56.0
261,0.29703845258600214,e_pracid_190.0
260,0.29691145881917747,e_pracid_180.0
259,0.29510299441954024,e_pracid_63.0
258,0.2930087728509246,e_pracid_211.0
257,0.2926135372162504,e_pracid_80.0
256,0.29206938951940525,e_pracid_246.0
255,0.2851148747235714,e_pracid_254.0
254,0.2782743364178806,e_pracid_203.0
253,0.27799101332628817,e_pracid_182.0
252,0.2764921859785673,e_pracid_94.0
251,0.2722206296298677,e_pracid_112.0
250,0.2692587281645404,e_pracid_2.0
248,0.2572457363560358,e_pracid_1.0
247,0.25577181012769074,e_pracid_230.0
246,0.25456783857928017,e_pracid_98.0
245,0.24250391123851925,e_pracid_70.0
243,0.23262067034067915,e_pracid_244.0
241,0.2293396911176895,e_pracid_131.0
240,0.22596574195174599,e_pracid_220.0
239,0.21235887710694007,e_pracid_34.0
238,0.21064411962531596,e_pracid_74.0
236,0.1984358065922531,e_pracid_199.0
234,0.1970964818606316,e_pracid_181.0
233,0.19246294129923736,e_pracid_118.0
232,0.19165088980025557,e_pracid_145.0
231,0.18938349605707872,e_pracid_10.0
230,0.18716511294979998,e_pracid_116.0
229,0.17948821480945948,e_pracid_46.0
227,0.1760899795171247,e_pracid_135.0
226,0.1752232677722476,e_pracid_184.0
225,0.1747509266722817,e_pracid_122.0
224,0.17392825366468945,e_pracid_134.0
223,0.17144002654236695,e_pracid_155.0
222,0.17025396772390536,e_pracid_45.0
219,0.16810295224814115,e_pracid_59.0
217,0.15795854628478986,e_pracid_15.0
216,0.15645101996855115,e_pracid_210.0
215,0.1475846503247346,e_pracid_242.0
214,0.14719583747390266,e_pracid_18.0
213,0.14488836925392323,e_pracid_209.0
212,0.13976144622052428,e_pracid_106.0
211,0.13898629302865181,e_pracid_204.0
210,0.1365356231489996,e_pracid_111.0
209,0.12549736361587682,e_pracid_172.0
208,0.11862166192137555,e_pracid_171.0
207,0.11763875511838628,e_pracid_188.0
206,0.1175660898122397,e_pracid_76.0
204,0.10936447808204544,e_pracid_247.0
203,0.10932939654379717,e_pracid_123.0
202,0.10852024781528956,e_pracid_245.0
201,0.1063384560749613,e_pracid_115.0
200,0.1043445638589272,e_pracid_146.0
199,0.1019009122844034,e_pracid_17.0
198,0.09948454762772692,e_pracid_196.0
197,0.09820687963713748,e_pracid_89.0
196,0.09731291357725524,e_pracid_91.0
194,0.09228629363480784,e_pracid_178.0
193,0.09082578995208684,e_pracid_29.0
192,0.09082397894082768,e_pracid_141.0
190,0.08493076222742048,e_pracid_127.0
189,0.08033567096670224,e_pracid_108.0
188,0.07721224367012755,e_pracid_154.0
187,0.07697375605947375,e_pracid_24.0
186,0.07648119677586519,e_pracid_78.0
185,0.07625364747585578,e_pracid_194.0
184,0.07579414635305055,e_pracid_175.0
183,0.07578775786258402,e_pracid_137.0
182,0.07524518467256618,e_pracid_33.0
181,0.07475823543859395,e_pracid_120.0
180,0.07102880667897565,e_pracid_241.0
179,0.06767582258267414,e_pracid_195.0
178,0.0676059871935352,e_pracid_150.0
177,0.065488059577624,e_pracid_86.0
176,0.06487746615530872,e_pracid_198.0
175,0.06270268254309982,e_pracid_13.0
174,0.062068635537143035,e_pracid_84.0
173,0.060750685875179476,e_pracid_179.0
172,0.059729133172857246,e_pracid_27.0
