,Value,Feature
282,0.5936951669828487,e_pracid_152.0
281,0.5920891866506836,e_pracid_22.0
280,0.5130726957108123,e_pracid_107.0
279,0.5082553808051727,e_pracid_253.0
278,0.4944727718690043,e_pracid_166.0
277,0.49379275727444466,e_pracid_250.0
275,0.4830145125826125,e_pracid_31.0
274,0.48292284342980757,e_pracid_133.0
273,0.44832083033715714,e_pracid_39.0
272,0.44528580364924325,e_pracid_162.0
271,0.4438946160727826,e_pracid_50.0
270,0.4347395743187173,e_pracid_235.0
269,0.41813399344519786,e_pracid_132.0
266,0.38494530918268854,e_pracid_203.0
265,0.38226634067828297,e_pracid_131.0
264,0.3705568884770887,e_pracid_190.0
263,0.3692923280419845,e_pracid_180.0
261,0.35463057114498026,e_pracid_255.0
260,0.34956452354278017,e_pracid_25.0
259,0.3414914161616941,e_pracid_53.0
258,0.3137082554554415,e_pracid_191.0
257,0.3132218245109025,e_pracid_117.0
256,0.3127953147916591,e_pracid_2.0
255,0.2939806167640663,e_pracid_10.0
254,0.29178842024532214,e_pracid_6.0
253,0.29012939040197044,e_pracid_14.0
252,0.26762452230181,e_pracid_198.0
251,0.26633375702681017,e_pracid_24.0
250,0.266143251953473,e_pracid_1.0
249,0.25664543685671254,e_pracid_188.0
248,0.2557285874792883,e_pracid_118.0
246,0.24835528672644672,e_pracid_155.0
245,0.24796009707796668,e_pracid_80.0
244,0.24454784749864947,e_pracid_59.0
243,0.2438221720788952,e_pracid_199.0
242,0.24156213407001084,e_pracid_244.0
241,0.23320876875388985,e_pracid_185.0
240,0.2327240172062266,e_pracid_150.0
239,0.22998966418458916,e_pracid_194.0
238,0.2271418362168291,e_pracid_145.0
237,0.22259180949097987,e_pracid_82.0
236,0.22225227362636868,e_pracid_174.0
234,0.21231752070114712,e_pracid_106.0
233,0.2114424716098481,e_pracid_137.0
232,0.2112392567631798,e_pracid_112.0
231,0.20927837519912626,e_pracid_92.0
230,0.2072957416766534,e_pracid_182.0
229,0.20027406589181085,e_pracid_46.0
228,0.19215650661194328,e_pracid_116.0
227,0.1918731305532165,e_pracid_254.0
226,0.18961012717441714,e_pracid_135.0
225,0.18544154667596488,e_pracid_211.0
223,0.18389555159662557,e_pracid_94.0
222,0.1810051521174508,e_pracid_241.0
