,Value,Feature
283,0.693740318219059,age_at_dx
276,0.48467963210056864,epilepsy
268,0.3944017658906514,asthma
267,0.39147669135097524,drinking_status_Ex drinker
262,0.35987218282610295,Ethnicity_Black
247,0.2544020136803292,copd
235,0.21601350359328614,smi
224,0.18537862978311306,drinking_status_Non drinker
217,0.16071362153917843,gender
202,0.12925295332633746,weight_category_Healthy weight
201,0.12842003809217756,drinking_status_Current drinker
200,0.12728123163685673,ckd
195,0.11650842645185819,weight_category_Obese
191,0.11285846815100248,hypertension
184,0.09653664824001443,weight_category_Overweight
174,0.07424552216342706,e2015_imd_5_4.0
172,0.07291047710532492,chd
167,0.06448153635136541,anxiety_or_depression_in_last_3y
151,0.025176650198930835,cfs
135,0.009177767924921369,Ethnicity_Other
131,0.0016230484831961443,heart_failure
130,-0.00016503405450914377,e2015_imd_5_5.0
128,-0.0027971093026175225,e2015_imd_5_1.0
122,-0.008638380329574428,Ethnicity_White
121,-0.010882043521038023,e2015_imd_5_2.0
103,-0.05362470964481632,osteoporosis
99,-0.06015106008377424,e2015_imd_5_3.0
84,-0.09537196989771844,Ethnicity_Mixed
61,-0.1463958450441485,weight_category_Underweight
52,-0.19565190777257227,weight_category_Unspecified
38,-0.2647893253222444,Ethnicity_S_Asian
2,-0.7050250840247777,drinking_status_Unspecified
