,Value,Feature
284,0.6945309150050537,e_pracid_151.0
283,0.6042822149384728,e_pracid_257.0
282,0.5587883688197697,e_pracid_31.0
281,0.5403585879361665,e_pracid_22.0
280,0.5051608392570304,e_pracid_252.0
279,0.4826393135839006,e_pracid_254.0
278,0.4792126046336153,e_pracid_132.0
277,0.4602404321570503,e_pracid_249.0
276,0.43833543742825726,e_pracid_165.0
275,0.42809892001798117,e_pracid_50.0
274,0.42569957479663256,e_pracid_131.0
273,0.4187421929835168,e_pracid_234.0
272,0.40495400190793746,e_pracid_25.0
271,0.3983642036769938,e_pracid_253.0
269,0.39148762158241884,e_pracid_179.0
267,0.37647320253834077,e_pracid_53.0
266,0.37456865377590864,e_pracid_79.0
265,0.37384595303584395,e_pracid_2.0
264,0.37139418941901636,e_pracid_161.0
262,0.3614996147719525,e_pracid_106.0
261,0.3451170822473945,e_pracid_10.0
260,0.32933935976766154,e_pracid_81.0
259,0.3287338503476373,e_pracid_181.0
258,0.31921853287479823,e_pracid_91.0
257,0.3182754771267208,e_pracid_184.0
256,0.31227818224316406,e_pracid_190.0
255,0.3053495442156632,e_pracid_105.0
254,0.3007921136607282,e_pracid_202.0
253,0.2990051869697783,e_pracid_210.0
252,0.28610989263301845,e_pracid_6.0
251,0.2850672687751703,e_pracid_14.0
250,0.2677588760599988,e_pracid_1.0
249,0.263300557987741,e_pracid_187.0
248,0.26310859727790714,e_pracid_145.0
247,0.25758953445623395,e_pracid_111.0
246,0.25054611351568384,e_pracid_97.0
245,0.24602604214052742,e_pracid_39.0
244,0.2378400485628243,e_pracid_73.0
242,0.23635666977409484,e_pracid_15.0
241,0.22643723851847625,e_pracid_189.0
238,0.2101939335509128,e_pracid_93.0
237,0.2054414096073924,e_pracid_34.0
236,0.19491338453612944,e_pracid_134.0
235,0.19149664936777727,e_pracid_229.0
234,0.1911253946400509,e_pracid_198.0
232,0.17880118068084236,e_pracid_130.0
231,0.17699973505912667,e_pracid_63.0
230,0.17651270542046596,e_pracid_164.0
228,0.16714792854224714,e_pracid_197.0
227,0.16591625222045495,e_pracid_240.0
225,0.16446752163123782,e_pracid_144.0
224,0.1620172141739051,e_pracid_180.0
223,0.161636171102115,e_pracid_170.0
221,0.15385041865476834,e_pracid_69.0
220,0.15374377922792382,e_pracid_109.0
219,0.15311968072514381,e_pracid_77.0
218,0.15216043327288237,e_pracid_149.0
217,0.14800761819220473,e_pracid_117.0
216,0.14633909196527956,e_pracid_241.0
215,0.14292103564266667,e_pracid_243.0
213,0.13927968605411498,e_pracid_107.0
212,0.13583908874936954,e_pracid_169.0
211,0.1348333927766623,e_pracid_173.0
210,0.1347247233477036,e_pracid_124.0
209,0.1342907588130301,e_pracid_46.0
208,0.13316201001775285,e_pracid_121.0
207,0.1266754598389309,e_pracid_171.0
206,0.1208641878177662,e_pracid_136.0
205,0.12023226499243617,e_pracid_116.0
204,0.11783989062918626,e_pracid_208.0
203,0.11531141332474125,e_pracid_59.0
202,0.11433984349744997,e_pracid_90.0
201,0.10951407980513889,e_pracid_33.0
200,0.10817304849872979,e_pracid_142.0
199,0.10726890332448172,e_pracid_246.0
198,0.10550678902015977,e_pracid_193.0
197,0.10492713041207928,e_pracid_209.0
196,0.10344266334922447,e_pracid_126.0
195,0.1025820637430123,e_pracid_13.0
194,0.09922537641803855,e_pracid_115.0
193,0.09648069891075474,e_pracid_7.0
192,0.0964380899534633,e_pracid_223.0
191,0.09552934819926372,e_pracid_75.0
190,0.091946476840366,e_pracid_157.0
189,0.09183711297179056,e_pracid_24.0
188,0.08488188935809339,e_pracid_17.0
187,0.08454254564151814,e_pracid_122.0
186,0.0803960555532758,e_pracid_114.0
185,0.07758615899463189,e_pracid_154.0
184,0.07539971577752272,e_pracid_32.0
183,0.07531599714873737,e_pracid_219.0
182,0.07028075343001187,e_pracid_177.0
181,0.06956792974491897,e_pracid_98.0
180,0.06942437619918329,e_pracid_58.0
179,0.06923638288393438,e_pracid_182.0
178,0.06578437430413886,e_pracid_51.0
177,0.06521303925624813,e_pracid_56.0
175,0.06481233519855314,e_pracid_228.0
174,0.0586051453915364,e_pracid_4.0
173,0.056433183685652734,e_pracid_88.0
172,0.05539508408732939,e_pracid_96.0
171,0.055309838247846105,e_pracid_133.0
170,0.0551691387589632,e_pracid_224.0
169,0.05500346361835184,e_pracid_27.0
168,0.053920042408075644,e_pracid_29.0
167,0.05229826121974195,e_pracid_245.0
165,0.05076697141588905,e_pracid_119.0
164,0.050045670826938164,e_pracid_83.0
163,0.04863310429370085,e_pracid_195.0
162,0.04649961444592586,e_pracid_87.0
161,0.04512949771161745,e_pracid_196.0
160,0.04145730563077418,e_pracid_140.0
159,0.04143521785423138,e_pracid_174.0
158,0.0411571077525304,e_pracid_18.0
156,0.03468827943897635,e_pracid_78.0
155,0.03462692777920837,e_pracid_120.0
154,0.03077237618075818,e_pracid_256.0
153,0.030737781063580518,e_pracid_200.0
152,0.028525772436322754,e_pracid_150.0
151,0.026105373546760038,e_pracid_127.0
148,0.022604604825347697,e_pracid_57.0
147,0.021948138523710848,e_pracid_67.0
146,0.021906944914775697,e_pracid_76.0
145,0.020078546332328903,e_pracid_247.0
144,0.01900322991899789,e_pracid_45.0
143,0.01782700163517339,e_pracid_159.0
142,0.017551616858809484,e_pracid_128.0
141,0.017013102532677467,e_pracid_178.0
140,0.01677058488154359,e_pracid_41.0
139,0.012578457799642945,e_pracid_8.0
138,0.011718118338088624,e_pracid_95.0
136,0.007414614910217082,e_pracid_250.0
135,0.006907882727028156,e_pracid_118.0
134,0.005555414305643004,e_pracid_66.0
129,-0.0034516619324075734,e_pracid_86.0
128,-0.004915056082423294,e_pracid_23.0
127,-0.005972780590368094,e_pracid_125.0
126,-0.010881232954584949,e_pracid_191.0
124,-0.013725617353050855,e_pracid_207.0
123,-0.016899991671652563,e_pracid_89.0
122,-0.018924442028393645,e_pracid_11.0
121,-0.020459210956350744,e_pracid_168.0
120,-0.020920748978340897,e_pracid_26.0
119,-0.024124185178568895,e_pracid_221.0
118,-0.024253324482698155,e_pracid_238.0
117,-0.03633145813425584,e_pracid_138.0
116,-0.0378080284113349,e_pracid_183.0
115,-0.037861110397284035,e_pracid_192.0
114,-0.03932307198779292,e_pracid_146.0
112,-0.04320926410600596,e_pracid_70.0
111,-0.044668069058115496,e_pracid_233.0
110,-0.04622720223743675,e_pracid_188.0
109,-0.047832870335790596,e_pracid_203.0
107,-0.04811464885200111,e_pracid_248.0
106,-0.05045831281034916,e_pracid_36.0
104,-0.052137078666925095,e_pracid_152.0
103,-0.05474305076147189,e_pracid_21.0
102,-0.054990367320744984,e_pracid_92.0
101,-0.055414184575293186,e_pracid_40.0
100,-0.057565625628144025,e_pracid_244.0
99,-0.05801465032411651,e_pracid_143.0
98,-0.05872260188804702,e_pracid_158.0
97,-0.06319971899838701,e_pracid_194.0
96,-0.06331680314882492,e_pracid_216.0
95,-0.06786037916056677,e_pracid_175.0
94,-0.06965880915220592,e_pracid_205.0
93,-0.07076733016939173,e_pracid_61.0
92,-0.07210458866190037,e_pracid_68.0
91,-0.07738272308228417,e_pracid_100.0
90,-0.07906354163075273,e_pracid_232.0
89,-0.08298387989668708,e_pracid_48.0
88,-0.0838020151532408,e_pracid_113.0
87,-0.09034621442219855,e_pracid_85.0
86,-0.094570768823251,e_pracid_218.0
85,-0.09709339164331873,e_pracid_44.0
82,-0.10534068862944908,e_pracid_172.0
81,-0.11470101502552098,e_pracid_9.0
80,-0.11622658980307467,e_pracid_220.0
79,-0.11684849579449504,e_pracid_211.0
78,-0.117325475351299,e_pracid_12.0
77,-0.11852369050611825,e_pracid_80.0
76,-0.12024626524161505,e_pracid_135.0
75,-0.12199103883413814,e_pracid_141.0
74,-0.123260647514853,e_pracid_176.0
73,-0.12466980010347685,e_pracid_215.0
72,-0.12523803462012717,e_pracid_167.0
71,-0.1256635083020272,e_pracid_82.0
70,-0.12944912129074676,e_pracid_43.0
69,-0.13387204079327386,e_pracid_52.0
68,-0.13592360740226275,e_pracid_160.0
67,-0.1439094596139589,e_pracid_129.0
66,-0.1471872246185207,e_pracid_74.0
65,-0.1495204597452381,e_pracid_163.0
63,-0.157694589592623,e_pracid_235.0
62,-0.1598605904182813,e_pracid_5.0
61,-0.15990522008965338,e_pracid_222.0
60,-0.16022599555634273,e_pracid_42.0
59,-0.1610919312958179,e_pracid_62.0
58,-0.16122930145123954,e_pracid_242.0
57,-0.16211485513622245,e_pracid_84.0
56,-0.16221370572569824,e_pracid_16.0
55,-0.16325021514382926,e_pracid_123.0
54,-0.16367931720468323,e_pracid_255.0
53,-0.1675800628824201,e_pracid_54.0
52,-0.16882512411218092,e_pracid_213.0
51,-0.17978407960612378,e_pracid_72.0
50,-0.18159371251146308,e_pracid_47.0
49,-0.19067763605146773,e_pracid_137.0
48,-0.19578298192495208,e_pracid_212.0
47,-0.19840488189845792,e_pracid_186.0
46,-0.1998700795092117,e_pracid_35.0
45,-0.20161610395913013,e_pracid_19.0
44,-0.20275240564185973,e_pracid_71.0
42,-0.2075686748442315,e_pracid_251.0
41,-0.20802718844994064,e_pracid_155.0
40,-0.2135785865924711,e_pracid_139.0
38,-0.22454624235553974,e_pracid_166.0
35,-0.23944471192003733,e_pracid_162.0
34,-0.2508964413498851,e_pracid_103.0
33,-0.2602541939340696,e_pracid_3.0
32,-0.2727600666256016,e_pracid_108.0
31,-0.27284756773434704,e_pracid_185.0
30,-0.2791957531238182,e_pracid_65.0
29,-0.28481595991512887,e_pracid_99.0
28,-0.2905165577843582,e_pracid_55.0
27,-0.30993673134389105,e_pracid_226.0
26,-0.3109134494355868,e_pracid_49.0
25,-0.320215308598373,e_pracid_231.0
24,-0.3416078107019319,e_pracid_28.0
23,-0.3496587939894035,e_pracid_239.0
22,-0.35922747262226934,e_pracid_20.0
21,-0.3658951422505904,e_pracid_94.0
20,-0.3666426506880754,e_pracid_112.0
19,-0.3909376332408426,e_pracid_156.0
18,-0.39534933660459387,e_pracid_147.0
17,-0.4132625305914909,e_pracid_199.0
16,-0.42459465059866786,e_pracid_204.0
15,-0.4294414577660574,e_pracid_102.0
14,-0.44386863666423904,e_pracid_38.0
13,-0.46133799184085117,e_pracid_236.0
12,-0.46216955370789353,e_pracid_217.0
11,-0.4655686007267314,e_pracid_148.0
10,-0.478112515942609,e_pracid_30.0
9,-0.4836182829366085,e_pracid_101.0
8,-0.4850044477806687,e_pracid_206.0
7,-0.49049644937557063,e_pracid_37.0
6,-0.49481607738430317,e_pracid_227.0
5,-0.4996827332821961,e_pracid_60.0
4,-0.5144111069032035,e_pracid_225.0
2,-0.690962752214897,e_pracid_214.0
1,-0.7204212510590665,e_pracid_230.0
0,-0.9279979823313758,e_pracid_201.0
