,Value,Feature
270,0.3979604245548052,smi
268,0.3825827816385961,Ethnicity_Black
263,0.3630474271419505,drinking_status_Ex drinker
243,0.2374769193399651,weight_category_Overweight
240,0.22428759099642237,heart_failure
239,0.2241237728789748,epilepsy
233,0.18887398851178752,multimorbidities
229,0.17362477315964614,age_at_dx
226,0.16576979041814377,drinking_status_Non drinker
222,0.15424361672571202,cfs
214,0.14172811952853712,drinking_status_Current drinker
176,0.06518168991341444,ckd
166,0.052098110625414876,e2015_imd_5_4.0
157,0.03735215723730444,weight_category_Healthy weight
150,0.025970354070612673,gender
149,0.023011084548106624,copd
137,0.007747271993560029,weight_category_Underweight
133,0.002582246815839492,Ethnicity_White
132,0.0014372550988837173,e2015_imd_5_2.0
131,0.0005882482255038854,anxiety_or_depression_in_last_3y
130,-0.001890431184826061,e2015_imd_5_1.0
125,-0.012879591790221192,e2015_imd_5_5.0
113,-0.039480581779765864,e2015_imd_5_3.0
108,-0.04791915740032617,weight_category_Obese
105,-0.052078279300068815,Ethnicity_Other
84,-0.10029301443649544,osteoporosis
83,-0.102033169018682,Ethnicity_Mixed
64,-0.1497253366560594,chd
43,-0.20434514265473736,asthma
39,-0.2218713545874409,hypertension
37,-0.23176881916619638,Ethnicity_S_Asian
36,-0.23537243020101423,weight_category_Unspecified
3,-0.6712605761191445,drinking_status_Unspecified
