readcode,medcode,clinicalevents,immunisationevents,referralevents,testevents,readterm,databasebuild,description
E100.00,32222,1130,0,22,0,Simple schizophrenia,Feb-09,Simple schizophrenia
E100.11,73295,5,0,0,0,Schizophrenia simplex,Feb-09,Schizophrenia simplex
E100000,15733,3075,0,107,0,Unspecified schizophrenia,Feb-09,Unspecified schizophrenia
E100100,23616,291,0,0,0,Subchronic schizophrenia,Feb-09,Subchronic schizophrenia
E100200,3984,4245,0,243,0,Chronic schizophrenic,Feb-09,Chronic schizophrenic
E100300,57666,18,0,0,0,Acute exacerbation of subchronic schizophrenia,Feb-09,Acute exacerbation of subchronic schizophrenia
E100400,44498,98,0,2,0,Acute exacerbation of chronic schizophrenia,Feb-09,Acute exacerbation of chronic schizophrenia
E100500,58687,1674,0,2,0,Schizophrenia in remission,Feb-09,Schizophrenia in remission
E100z00,53625,94,0,0,0,Simple schizophrenia NOS,Feb-09,Simple schizophrenia NOS
E101.00,30619,433,0,5,0,Hebephrenic schizophrenia,Feb-09,Hebephrenic schizophrenia
E101000,66506,2,0,0,0,Unspecified hebephrenic schizophrenia,Feb-09,Unspecified hebephrenic schizophrenia
E101400,97919,1,0,0,0,Acute exacerbation of chronic hebephrenic schizophrenia,Oct-09,Acute exacerbation of chronic hebephrenic schizophrenia
E101500,67768,14,0,0,0,Hebephrenic schizophrenia in remission,Feb-09,Hebephrenic schizophrenia in remission
E101z00,48054,14,0,0,0,Hebephrenic schizophrenia NOS,Feb-09,Hebephrenic schizophrenia NOS
E102.00,25546,318,0,14,0,Catatonic schizophrenia,Feb-09,Catatonic schizophrenia
E102000,58716,3,0,0,0,Unspecified catatonic schizophrenia,Feb-09,Unspecified catatonic schizophrenia
E102100,99199,2,0,0,0,Subchronic catatonic schizophrenia,Apr-10,Subchronic catatonic schizophrenia
E102500,102427,13,0,0,0,Catatonic schizophrenia in remission,Jun-11,Catatonic schizophrenia in remission
E102z00,63867,10,0,0,0,Catatonic schizophrenia NOS,Feb-09,Catatonic schizophrenia NOS
E103.00,1494,32348,0,1118,0,Paranoid schizophrenia,Feb-09,Paranoid schizophrenia
E103000,33383,140,0,2,0,Unspecified paranoid schizophrenia,Feb-09,Unspecified paranoid schizophrenia
E103200,31362,355,0,5,0,Chronic paranoid schizophrenia,Feb-09,Chronic paranoid schizophrenia
E103300,51322,21,0,0,0,Acute exacerbation of subchronic paranoid schizophrenia,Feb-09,Acute exacerbation of subchronic paranoid schizophrenia
E103400,53032,134,0,0,0,Acute exacerbation of chronic paranoid schizophrenia,Feb-09,Acute exacerbation of chronic paranoid schizophrenia
E103500,36172,432,0,0,0,Paranoid schizophrenia in remission,Feb-09,Paranoid schizophrenia in remission
E103z00,9281,476,0,4,0,Paranoid schizophrenia NOS,Feb-09,Paranoid schizophrenia NOS
E104.00,576,1190,0,78,0,Acute schizophrenic episode,Feb-09,Acute schizophrenic episode
E105.00,66410,20,0,0,0,Latent schizophrenia,Feb-09,Latent schizophrenia
E105000,102311,4,0,0,0,Unspecified latent schizophrenia,Jun-11,Unspecified latent schizophrenia
E105200,94299,3,0,0,0,Chronic latent schizophrenia,Feb-09,Chronic latent schizophrenia
E105500,96883,21,0,0,0,Latent schizophrenia in remission,May-09,Latent schizophrenia in remission
E105z00,102446,2,0,0,0,Latent schizophrenia NOS,Jun-11,Latent schizophrenia NOS
E106.00,38063,372,0,1,0,Residual schizophrenia,Feb-09,Residual schizophrenia
E107.00,2117,7747,0,602,0,Schizo-affective schizophrenia,Feb-09,Schizo-affective schizophrenia
E107.11,99000,1,0,0,0,Cyclic schizophrenia,Apr-10,Cyclic schizophrenia
E107000,58862,159,0,1,0,Unspecified schizo-affective schizophrenia,Feb-09,Unspecified schizo-affective schizophrenia
E107100,61098,11,0,0,0,Subchronic schizo-affective schizophrenia,Feb-09,Subchronic schizo-affective schizophrenia
E107200,43800,127,0,4,0,Chronic schizo-affective schizophrenia,Feb-09,Chronic schizo-affective schizophrenia
E107300,58866,9,0,0,0,Acute exacerbation subchronic schizo-affective schizophrenia,Feb-09,Acute exacerbation subchronic schizo-affective schizophrenia
E107400,63478,28,0,0,0,Acute exacerbation of chronic schizo-affective schizophrenia,Feb-09,Acute exacerbation of chronic schizo-affective schizophrenia
E107500,56438,274,0,0,0,Schizo-affective schizophrenia in remission,Feb-09,Schizo-affective schizophrenia in remission
E107z00,10575,275,0,1,0,Schizo-affective schizophrenia NOS,Feb-09,Schizo-affective schizophrenia NOS
E10y.00,39062,120,0,1,0,Other schizophrenia,Feb-09,Other schizophrenia
E10y.11,92994,3,0,0,0,Cenesthopathic schizophrenia,Feb-09,Cenesthopathic schizophrenia
E10y000,33338,101,0,15,0,Atypical schizophrenia,Feb-09,Atypical schizophrenia
