medcode,readcode,readterm,consumptionlevel,heavydrinking,drinkingstatus
27,136..00,alcohol consumption,,,current
322,1364.00,Moderate drinker - 3-6u/day,moderate,,current
385,1362.11,Drinks rarely,low,,current
669,E250000,"Nondependent alcohol abuse, unspecified",high,yes,current
749,1362.12,Drinks occasionally,low,,current
956,136J.00,Social drinker,low,,current
967,1367.00,Stopped drinking alcohol,,yes,former
1399,E23..12,Alcohol problem drinking,high,yes,current
1476,E010.12,Delirium tremens,high,yes,current
1618,1365.00,Heavy drinker - 7-9u/day,high,yes,current
2081,E23..11,Alcoholism,high,yes,current
2082,E01y000,Alcohol withdrawal syndrome,high,yes,current
2083,8BA8.00,Alcohol detoxification,high,yes,current
2084,E23..00,Alcohol dependence syndrome,high,yes,current
2689,136G.00,Beer drinker,,,current
2925,F375.00,Alcoholic polyneuropathy,high,yes,current
3216,J611.00,Acute alcoholic hepatitis,high,yes,current
3782,E250.14,Intoxication - alcohol,high,yes,current
4447,1361.12,Non-drinker alcohol,,,never
4500,E011000,Korsakov's alcoholic psychosis,high,yes,current
4506,J153.00,Alcoholic gastritis,high,yes,current
4743,J612.00,Alcoholic cirrhosis of liver,high,yes,current
4915,G555.00,Alcoholic cardiomyopathy,high,yes,current
5611,Eu10.00,[X]Mental and behavioural disorders due to use of alcohol,high,yes,current
5740,E230.00,Acute alcoholic intoxication in alcoholism,high,yes,current
5758,Eu10212,[X]Chronic alcoholism,high,yes,current
6169,E23z.00,Alcohol dependence syndrome NOS,high,yes,current
6467,Eu10511,[X]Alcoholic hallucinosis,high,yes,current
7123,ZV11300,[V]Personal history of alcoholism,high,yes,current
7545,ZV4KC00,[V] Alcohol use,,,current
7602,J617000,Chronic alcoholic hepatitis,high,yes,current
7692,8CAM.00,Patient advised about alcohol,,,current
7746,E250.00,Nondependent alcohol abuse,high,yes,current
7885,J613.00,Alcoholic liver damage unspecified,high,yes,current
7943,J617.00,Alcoholic hepatitis,high,yes,current
8030,ZV6D600,[V]Alcohol abuse counselling and surveillance,high,yes,current
8363,G852300,Oesophageal varices in alcoholic cirrhosis of the liver,high,yes,current
