readcode,medcode,clinicalevents,immunisationevents,referralevents,testevents,readterm,databasebuild,description
2258,13124,NA,NA,NA,NA,NA,NA,O/E - anxious
225J.00,19000,559,0,8,0,O/E - panic attack,Feb-09,O/E - panic attack
8G52.00,63521,4,0,0,0,Antiphobic therapy,Feb-09,Antiphobic therapy
8G94.00,9125,7665,0,331,0,Anxiety management training,Feb-09,Anxiety management training
8HHp.00,28925,881,0,628,0,Referral for guided self-help for anxiety,Feb-09,Referral for guided self-help for anxiety
E2...00,9686,1168,0,31,0,"Neurotic, personality and other nonpsychotic disorders",Feb-09,Neurotic; personality and other nonpsychotic disorders
E20..00,5249,1745,0,34,0,Neurotic disorders,Feb-09,Neurotic disorders
E200.00,636,1357525,0,49321,17,Anxiety states,Feb-09,Anxiety states
E200000,6939,34395,0,505,0,Anxiety state unspecified,Feb-09,Anxiety state unspecified
E200100,4069,147776,0,8498,4,Panic disorder,Feb-09,Panic disorder
E200111,462,290750,0,11590,23,Panic attack,Feb-09,Panic attack
E200200,4659,56238,0,1827,0,Generalised anxiety disorder,Feb-09,Generalised anxiety disorder
E200300,655,961053,0,27566,5,Anxiety with depression,Feb-09,Anxiety with depression
E200400,1758,54640,0,2325,0,Chronic anxiety,Feb-09,Chronic anxiety
E200500,4634,11095,0,317,0,Recurrent anxiety,Feb-09,Recurrent anxiety
E200z00,4534,138540,0,3583,0,Anxiety state NOS,Feb-09,Anxiety state NOS
E201.00,2188,4213,0,280,1,Hysteria,Feb-09,Hysteria
E201000,41572,73,0,0,0,Hysteria unspecified,Feb-09,Hysteria unspecified
E201100,3438,221,0,16,0,Hysterical blindness,Feb-09,Hysterical blindness
E201200,44739,6,0,1,0,Hysterical deafness,Feb-09,Hysterical deafness
E201300,23598,105,0,7,0,Hysterical tremor,Feb-09,Hysterical tremor
E201400,34696,305,0,3,0,Hysterical paralysis,Feb-09,Hysterical paralysis
E201500,16484,969,0,120,0,Hysterical seizures,Feb-09,Hysterical seizures
E201511,33702,178,0,13,0,Fit - hysterical,Feb-09,Fit - hysterical
E201600,15431,4187,0,327,0,Other conversion disorder,Feb-09,Other conversion disorder
E201611,46399,13,0,5,5,"Astasia - abasia, hysterical",Feb-09,Astasia - abasia; hysterical
E201612,4143,23135,0,1580,0,Globus hystericus,Feb-09,Globus hystericus
E201700,4269,220,0,13,0,Hysterical amnesia,Feb-09,Hysterical amnesia
E201800,4775,366,0,33,0,Hysterical fugue,Feb-09,Hysterical fugue
E201900,43302,50,0,2,0,Multiple personality,Feb-09,Multiple personality
E201A00,23490,141,0,16,0,Dissociative reaction unspecified,Feb-09,Dissociative reaction unspecified
E201B00,29322,71,0,3,0,Compensation neurosis,Feb-09,Compensation neurosis
E201C00,24525,464,0,22,0,Phantom pregnancy,Feb-09,Phantom pregnancy
E201z00,23354,333,0,15,0,Hysteria NOS,Feb-09,Hysteria NOS
E201z11,4105,373,0,18,0,Aphonia - hysterical,Feb-09,Aphonia - hysterical
E201z12,24638,36,0,1,0,Ataxia - hysterical,Feb-09,Ataxia - hysterical
E201z13,40066,17,0,2,0,Ganser's syndrome - hysterical,Feb-09,Ganser's syndrome - hysterical
E202.00,1907,10108,0,683,2,Phobic disorders,Feb-09,Phobic disorders
E202.11,16638,3867,0,338,0,Social phobic disorders,Feb-09,Social phobic disorders
E202.12,9944,5449,0,257,0,Phobic anxiety,Feb-09,Phobic anxiety
E202000,2300,18639,0,2957,0,Phobia unspecified,Feb-09,Phobia unspecified
E202100,3076,26696,0,1697,0,Agoraphobia with panic attacks,Feb-09,Agoraphobia with panic attacks
E202200,12838,6892,0,850,0,Agoraphobia without mention of panic attacks,Feb-09,Agoraphobia without mention of panic attacks
E202300,16199,383,0,64,0,"Social phobia, fear of eating in public",Feb-09,Social phobia; fear of eating in public
E202400,31957,210,0,3,0,"Social phobia, fear of public speaking",Feb-09,Social phobia; fear of public speaking
E202500,18603,116,0,26,0,"Social phobia, fear of public washing",Feb-09,Social phobia; fear of public washing
E202600,28106,165,0,13,0,Acrophobia,Feb-09,Acrophobia
E202700,28938,430,0,31,0,Animal phobia,Feb-09,Animal phobia
E202800,1723,10021,0,645,0,Claustrophobia,Feb-09,Claustrophobia
E202900,31672,119,0,5,0,Fear of crowds,Feb-09,Fear of crowds
E202A00,4167,101001,0,309,0,Fear of flying,Feb-09,Fear of flying
E202B00,1510,5790,0,380,0,Cancer phobia,Feb-09,Cancer phobia
E202C00,2366,5243,0,207,0,Dental phobia,Feb-09,Dental phobia
E202D00,10390,673,0,89,0,Fear of death,Feb-09,Fear of death
E202E00,6071,1320,0,168,8,Fear of pregnancy,Feb-09,Fear of pregnancy
