readcode,medcode,clinicalevents,immunisationevents,referralevents,testevents,readterm,databasebuild,description
1465,2716,NA,NA,NA,NA,NA,NA,H/O: depression
1B17.00,1996,487649,0,16936,0,Depressed,Feb-09,Depressed
1B17.00,1996,487649,0,16936,0,Depressed,Feb-09,Depressed
1B17.11,4824,341299,0,14047,0,C/O - feeling depressed,Feb-09,C/O - feeling depressed
1B1U.00,9796,249326,0,10738,0,Symptoms of depression,Feb-09,Symptoms of depression
1B1U.11,10438,31100,0,1655,0,Depressive symptoms,Feb-09,Depressive symptoms
1BT..00,10015,451363,0,14107,0,Depressed mood,Feb-09,Depressed mood
212S.00,19439,67316,0,95,0,Depression resolved,Feb-09,Depression resolved
212S.00,19439,67316,0,95,0,Depression resolved,Feb-09,Depression resolved
2257,1908,NA,NA,NA,NA,NA,NA,O/E - depressed
62T1.00,2923,10061,0,476,0,Puerperal depression,Feb-09,Puerperal depression
62T1.00,2923,10061,0,476,0,Puerperal depression,Feb-09,Puerperal depression
8CAa.00,30483,47172,0,8,0,Patient given advice about management of depression,Feb-09,Patient given advice about management of depression
8HHq.00,32841,1918,0,970,0,Referral for guided self-help for depression,Feb-09,Referral for guided self-help for depression
9H90.00,12399,24867,0,89,0,Depression annual review,Feb-09,Depression annual review
9H91.00,12122,103986,0,245,0,Depression medication review,Feb-09,Depression medication review
9H92.00,30405,777209,0,5408,0,Depression interim review,Feb-09,Depression interim review
9HA0.00,42931,15330,0,3,0,On depression register,Feb-09,On depression register
9HA1.00,44936,4013,0,0,0,Removed from depression register,Feb-09,Removed from depression register
9HA1.00,44936,4013,0,0,0,Removed from depression register,Feb-09,Removed from depression register
E001300,27677,129,0,5,0,Presenile dementia with depression,Feb-09,Presenile dementia with depression
E001300,27677,129,0,5,0,Presenile dementia with depression,Feb-09,Presenile dementia with depression
E002100,21887,807,0,48,0,Senile dementia with depression,Feb-09,Senile dementia with depression
E002100,21887,807,0,48,0,Senile dementia with depression,Feb-09,Senile dementia with depression
E004300,43292,111,0,1,0,Arteriosclerotic dementia with depression,Feb-09,Arteriosclerotic dementia with depression
E004300,43292,111,0,1,0,Arteriosclerotic dementia with depression,Feb-09,Arteriosclerotic dementia with depression
E112.00,10610,52158,0,1077,0,Single major depressive episode,Feb-09,Single major depressive episode
E112.00,10610,52158,0,1077,0,Single major depressive episode,Feb-09,Single major depressive episode
E112.11,5879,49800,0,3832,0,Agitated depression,Feb-09,Agitated depression
E112.11,5879,49800,0,3832,0,Agitated depression,Feb-09,Agitated depression
E112.12,6546,18129,0,354,0,Endogenous depression first episode,Feb-09,Endogenous depression first episode
E112.12,6546,18129,0,354,0,Endogenous depression first episode,Feb-09,Endogenous depression first episode
