readcode,medcode,clinicalevents,immunisationevents,referralevents,testevents,readterm,databasebuild,description
1B1W.00,38919,101,0,1,0,Transient epileptic amnesia,Feb-09,Transient epileptic amnesia
2126000,8385,9443,0,40,0,Epilepsy resolved,Feb-09,Epilepsy resolved
212J.00,12848,5413,0,9,0,Epilepsy resolved,Feb-09,Epilepsy resolved
667..00,6983,150039,0,2053,1,Epilepsy monitoring,Feb-09,Epilepsy monitoring
667A.00,20566,777,0,1,0,Epilepsy treatment stopped,Feb-09,Epilepsy treatment stopped
667B.00,4602,2696,0,156,0,Nocturnal epilepsy,Feb-09,Nocturnal epilepsy
667C.00,19550,6892,0,2,0,Epilepsy control good,Feb-09,Epilepsy control good
667D.00,13220,1649,0,30,0,Epilepsy control poor,Feb-09,Epilepsy control poor
667E.00,19551,316,0,1,0,Epilepsy care arrangement,Feb-09,Epilepsy care arrangement
667F.00,11015,304555,0,61,0,Seizure free >12 months,Feb-09,Seizure free >12 months
667G.00,26620,122,0,1,0,Epilepsy restricts employment,Feb-09,Epilepsy restricts employment
667H.00,50702,106,0,0,0,Epilepsy prevents employment,Feb-09,Epilepsy prevents employment
667J.00,40863,33,0,1,0,Epilepsy impairs education,Feb-09,Epilepsy impairs education
667K.00,26619,297,0,10,0,Epilepsy limits activities,Feb-09,Epilepsy limits activities
667L.00,19552,676,0,0,0,Epilepsy does not limit activities,Feb-09,Epilepsy does not limit activities
667M.00,55706,2093,0,2,0,Epilepsy management plan given,Feb-09,Epilepsy management plan given
667N.00,22991,281,0,24,0,Epilepsy severity,Feb-09,Epilepsy severity
667P.00,13219,11137,0,8,0,No seizures on treatment,Feb-09,No seizures on treatment
667Q.00,26618,22700,0,42,0,1 to 12 seizures a year,Feb-09,1 to 12 seizures a year
667R.00,13221,8500,0,43,0,2 to 4 seizures a month,Feb-09,2 to 4 seizures a month
667S.00,19549,6380,0,39,0,1 to 7 seizures a week,Feb-09,1 to 7 seizures a week
667T.00,18899,2780,0,74,0,Daily seizures,Feb-09,Daily seizures
667V.00,39160,910,0,18,0,Many seizures a day,Feb-09,Many seizures a day
667W.00,46603,135,0,4,0,Emergency epilepsy treatment since last appointment,Feb-09,Emergency epilepsy treatment since last appointment
