readcode,medcode,clinicalevents,immunisationevents,referralevents,testevents,readterm,databasebuild,description
2126100,3269,25005,0,44,0,Hypertension resolved,Feb-09,Hypertension resolved
2126100,3269,25005,0,44,0,Hypertension resolved,Feb-09,Hypertension resolved
212K.00,19342,9816,0,1,0,Hypertension resolved,Feb-09,Hypertension resolved
212K.00,19342,9816,0,1,0,Hypertension resolved,Feb-09,Hypertension resolved
662..12,4444,3217898,0,16947,110,Hypertension monitoring,Feb-09,Hypertension monitoring
6627,NA,NA,NA,NA,NA,NA,NA,Good hypertension control
6628,NA,NA,NA,NA,NA,NA,NA,Poor hypertension control
6629,NA,NA,NA,NA,NA,NA,NA,Hypertension:follow-up default
662b.00,18590,4582,0,16,0,Moderate hypertension control,Feb-09,Moderate hypertension control
662c.00,18482,175082,0,166,0,Hypertension six month review,Feb-09,Hypertension six month review
662d.00,19070,682683,0,76,0,Hypertension annual review,Feb-09,Hypertension annual review
662F.00,21826,6888,0,22,0,Hypertension treatm. started,Feb-09,Hypertension treatm. started
662G.00,13188,30809,0,37,0,Hypertensive treatm.changed,Feb-09,Hypertensive treatm.changed
662O.00,3425,50829,0,781,0,On treatment for hypertension,Feb-09,On treatment for hypertension
662P.00,13186,1221777,0,1297,21,Hypertension monitoring,Feb-09,Hypertension monitoring
8B26.00,18057,6927,0,1,0,Antihypertensive therapy,Feb-09,Antihypertensive therapy
8BL0.00,11056,158593,0,40,0,Patient on maximal tolerated antihypertensive therapy,Feb-09,Patient on maximal tolerated antihypertensive therapy
8CR4.00,12680,2610,0,1,0,Hypertension clinical management plan,Feb-09,Hypertension clinical management plan
8HT5.00,5513,3092,0,3145,0,Referral to hypertension clinic,Feb-09,Referral to hypertension clinic
9N03.00,4344,141299,0,150,2,Seen in hypertension clinic,Feb-09,Seen in hypertension clinic
9N1y200,27634,41845,0,10,0,Seen in hypertension clinic,Feb-09,Seen in hypertension clinic
9OI1.00,45149,42919,0,2,0,Attends hypertension monitor.,Feb-09,Attends hypertension monitor.
9OIA.00,36305,86011,0,60,0,Hypertension monitor.chck done,Feb-09,Hypertension monitor.chck done
9OIA.11,24127,8607,0,15,0,Hypertension monitored,Feb-09,Hypertension monitored
F404200,37086,65,0,2,0,Blind hypertensive eye,Feb-09,Blind hypertensive eye
F421300,6702,5920,0,270,4,Hypertensive retinopathy,Feb-09,Hypertensive retinopathy
G2...00,204,1681090,0,22234,2204,Hypertensive disease,Feb-09,Hypertensive disease
G2...00,204,1681090,0,22234,2204,Hypertensive disease,Feb-09,Hypertensive disease
G2...11,8732,35294,0,221,0,BP - hypertensive disease,Feb-09,BP - hypertensive disease
G2...11,8732,35294,0,221,0,BP - hypertensive disease,Feb-09,BP - hypertensive disease
G20..00,799,3418093,0,16904,35,Essential hypertension,Feb-09,Essential hypertension
G20..00,799,3418093,0,16904,35,Essential hypertension,Feb-09,Essential hypertension
